org1,org2,dst
Homo sapiens,Macaca mulatta,0.02447089947089947
Aquila chrysaetos,Balearica regulorum,0.024471350613915414
Sinocyclocheilus anshuiensis,Sinocyclocheilus rhinocerous,0.024473924977127172
Lonchura striata,Parus major,0.024486191393705843
Homo sapiens,Macaca fascicularis,0.02453747256193164
Oncorhynchus mykiss,Oncorhynchus tshawytscha,0.024549335863377608
Odocoileus virginianus,Ovis aries,0.024588595484117872
Bos indicus,Odocoileus virginianus,0.02464430894308943
Athene cunicularia,Pygoscelis adeliae,0.024658703071672356
Charadrius vociferus,Pelecanus crispus,0.024685973482205165
Corvus cornix,Cyanistes caeruleus,0.024700070571630206
Balearica regulorum,Charadrius vociferus,0.024706288873531445
Parus major,Zonotrichia albicollis,0.024733510992671553
Leptosomus discolor,Tyto alba,0.02475434618291761
Serinus canaria,Sturnus vulgaris,0.024773316062176167
Nipponia nippon,Pelecanus crispus,0.024775552486187846
Dromaius novaehollandiae,Struthio camelus,0.024902024820378836
Bos mutus,Odocoileus virginianus,0.024911382434029145
Aquila chrysaetos,Egretta garzetta,0.02491883116883117
Pongo abelii,Theropithecus gelada,0.024921383647798744
Corvus brachyrhynchos,Geospiza fortis,0.02493238674780257
Falco peregrinus,Haliaeetus leucocephalus,0.024951393389500972
Oncorhynchus kisutch,Oncorhynchus mykiss,0.024976437323279924
Capra hircus,Odocoileus virginianus,0.024990388312187622
Homo sapiens,Theropithecus gelada,0.025007827175954917
Falco cherrug,Haliaeetus leucocephalus,0.025016244314489927
Haliaeetus leucocephalus,Pygoscelis adeliae,0.02503315649867374
Leptosomus discolor,Phalacrocorax carbo,0.025037091988130564
Calidris pugnax,Haliaeetus leucocephalus,0.02506325110689437
Egretta garzetta,Haliaeetus leucocephalus,0.025082236842105265
Falco peregrinus,Nipponia nippon,0.025130123617436564
Macaca fascicularis,Pan troglodytes,0.025133521834747093
Oncorhynchus kisutch,Oncorhynchus tshawytscha,0.02514436958614052
Leptosomus discolor,Phaethon lepturus,0.025163517441860465
Balearica regulorum,Cariama cristata,0.0251779359430605
Fulmarus glacialis,Phoenicopterus ruber,0.025190114068441065
Aquila chrysaetos,Charadrius vociferus,0.025240384615384616
Aotus nancymaae,Callithrix jacchus,0.025252525252525252
Balearica regulorum,Nipponia nippon,0.02527416038382454
Macaca mulatta,Pan troglodytes,0.025335204240723417
Hirundo rustica,Zosterops borbonicus,0.025363573407202217
Fulmarus glacialis,Haliaeetus leucocephalus,0.02539875173370319
Aptenodytes forsteri,Phalacrocorax carbo,0.02540867093105899
Aptenodytes forsteri,Phaethon lepturus,0.025410677618069814
Egretta garzetta,Gavia stellata,0.025441696113074206
Chlorocebus sabaeus,Homo sapiens,0.02547095761381476
Alligator sinensis,Gavialis gangeticus,0.025491803278688524
Antrostomus carolinensis,Fulmarus glacialis,0.02550074183976261
Egretta garzetta,Phaethon lepturus,0.02551903114186851
Chlamydotis macqueenii,Fulmarus glacialis,0.02553269654665687
Ficedula albicollis,Zonotrichia albicollis,0.02554127198917456
Alligator mississippiensis,Gavialis gangeticus,0.025557324840764332
Corvus brachyrhynchos,Parus major,0.02556628914057295
Poecilia reticulata,Xiphophorus couchianus,0.025576368876080693
Papio anubis,Pongo abelii,0.02561282212445003
Geospiza fortis,Pseudopodoces humilis,0.025619557937039517
Antrostomus carolinensis,Pygoscelis adeliae,0.025629496402877698
Pan troglodytes,Theropithecus gelada,0.025651082522748666
Athene cunicularia,Fulmarus glacialis,0.025677603423680456
Parus major,Taeniopygia guttata,0.02569043031470777
Homo sapiens,Papio anubis,0.025704225352112677
Aquila chrysaetos,Pelecanus crispus,0.025704951856946354
Cariama cristata,Gavia stellata,0.025713762811127378
Ficedula albicollis,Taeniopygia guttata,0.025752125572269458
Pelecanus crispus,Phalacrocorax carbo,0.02577319587628866
Aptenodytes forsteri,Tauraco erythrolophus,0.025774102744546095
Melopsittacus undulatus,Nestor notabilis,0.02577958894401134
Pelecanus crispus,Phoenicopterus ruber,0.025808753568030446
Lonchura striata,Zonotrichia albicollis,0.025825082508250826
Aptenodytes forsteri,Calidris pugnax,0.025839793281653745
Corvus brachyrhynchos,Sturnus vulgaris,0.02584214002642008
Cyanistes caeruleus,Lonchura striata,0.025850567044696463
Corvus cornix,Geospiza fortis,0.02587126600284495
Aptenodytes forsteri,Athene cunicularia,0.025873655913978496
Corvus brachyrhynchos,Ficedula albicollis,0.02589105581708137
Chlorocebus sabaeus,Pongo abelii,0.025898770104068117
Sturnus vulgaris,Zosterops borbonicus,0.025947943444730077
